"","PN38066GM"
"","Empleo en Lima Metropolitana - Promedio móvil tres meses (porcentaje) - Tasa de Desempleo (%) - Por Grupos de Edad - 14 a 24 años"
May01,14.4824860384627
Jun01,15.2337926484879
Jul01,14.4520147167727
Ago01,15.1917724512911
Sep01,15.3192124168976
Oct01,15.2740545811887
Nov01,14.6779756179313
Dic01,13.8563020833128
Ene02,14.6276838399398
Feb02,15.8552485580758
Mar02,17.1076879529865
Abr02,17.0873977989014
May02,15.4110331949289
Jun02,14.369444083145
Jul02,13.0900192362957
Ago02,13.7318151498614
Sep02,13.8340978456959
Oct02,14.4923817361418
Nov02,14.6196875646249
Dic02,15.1938344542287
Ene03,15.6574970583681
Feb03,15.7724995315236
Mar03,16.1737228862311
Abr03,15.7785283830872
May03,14.518964963237
Jun03,13.6738463209709
Jul03,13.1604915720102
Ago03,14.0576357852309
Sep03,13.3733673729596
Oct03,14.325007683805
Nov03,14.9338655489075
Dic03,15.749521501805
Ene04,16.037484511337
Feb04,16.3630446489389
Mar04,16.7988448947462
Abr04,17.2190786927023
May04,16.1424396142069
Jun04,14.694156016262
Jul04,13.6900864122881
Ago04,14.1788645468934
Sep04,15.1755140859044
Oct04,15.9660064190136
Nov04,16.0612448823639
Dic04,16.4910264336204
Ene05,18.7571224332916
Feb05,18.7480065161632
Mar05,19.0392332266282
Abr05,16.8605498000219
May05,17.0769890345535
Jun05,16.526924338484
Jul05,15.9565915626114
Ago05,15.7127012406778
Sep05,15.6903318289148
Oct05,15.2251873596756
Nov05,14.4486077688986
Dic05,13.2211644566417
Ene06,15.1983581647622
Feb06,16.005735807186
Mar06,15.6910360165021
Abr06,14.1865319598665
May06,14.1100882668426
Jun06,15.4128218730333
Jul06,15.4623134384616
Ago06,14.0588992148957
Sep06,14.2530834789531
Oct06,13.3400045298767
Nov06,14.1890403356425
Dic06,14.0666185667541
Ene07,16.5718720955167
Feb07,16.1273152283711
Mar07,16.5004043020454
Abr07,14.7859063582617
May07,14.7001733252354
Jun07,13.6077263746482
