 
"","PD39730DA"
"","Indicadores Internacionales - EUA: Tasa desempleo (a dic) (%)"
1929,3.2
1930,8.7
1931,15.9
1932,23.6
1933,24.9
1934,21.7
1935,20.1
1936,16.9
1937,14.3
1938,19
1939,17.2
1940,14.6
1941,9.9
1942,4.7
1943,1.9
1944,1.2
1945,1.9
1946,3.9
1947,3.6
1948,4
1949,6.6
1950,4.3
1951,3.1
1952,2.7
1953,4.5
1954,5
1955,4.2
1956,4.2
1957,5.2
1958,6.2
1959,5.3
1960,6.6
1961,6
1962,5.5
1963,5.5
1964,5
1965,4
1966,3.8
1967,3.8
1968,3.4
1969,3.5
1970,6.1
1971,6
1972,5.2
1973,4.9
1974,7.2
1975,8.2
1976,7.8
1977,6.4
1978,6
1979,6
1980,7.2
1981,8.5
1982,10.8
1983,8.3
1984,7.3
1985,7
1986,6.6
1987,5.7
1988,5.3
1989,5.4
1990,6.3
1991,7.3
1992,7.4
1993,6.5
1994,5.5
1995,5.6
1996,5.4
1997,4.7
1998,4.4
1999,4
2000,3.9
2001,5.7
2002,6
2003,5.7
2004,5.4
2005,4.9
2006,4.4
2007,5
2008,7.3
2009,9.9
2010,9.3
2011,8.5
2012,7.9
2013,6.7
2014,5.6
2015,5
2016,4.7
2017,4.1
2018,3.9
2019,3.6
2020,6.7
2021,3.9
		
