"","PN38064GM"
"","Empleo en Lima Metropolitana - Promedio móvil tres meses (porcentaje) - Tasa de Desempleo (%) - Por Género - Hombre"
May01,7.99130444338949
Jun01,8.45055639373903
Jul01,8.36841449205197
Ago01,8.42548453229285
Sep01,8.5004926672352
Oct01,8.88097316497852
Nov01,8.58325817172661
Dic01,8.05057448431689
Ene02,8.23430647082478
Feb02,8.78399098784141
Mar02,9.39967599054489
Abr02,9.27274202010991
May02,9.12571320248899
Jun02,8.62929419905517
Jul02,7.85299867127072
Ago02,7.539003168271
Sep02,7.62416455440693
Oct02,7.5430348775658
Nov02,7.32102986002486
Dic02,7.5192096048895
Ene03,8.03674577088686
Feb03,8.19156130402707
Mar03,8.51403846989212
Abr03,8.40973835228258
May03,8.77472803110148
Jun03,8.44498601655236
Jul03,8.26861949282831
Ago03,8.44931718911429
Sep03,8.32243809965735
Oct03,8.68303063864034
Nov03,8.3439128235678
Dic03,8.63997488500338
Ene04,9.17939897377344
Feb04,9.40573804163728
Mar04,9.46250333728602
Abr04,9.26091713115121
May04,8.85521923475372
Jun04,8.20897823475705
Jul04,7.35699574219509
Ago04,7.295855740513
Sep04,7.549353508232
Oct04,7.65830533351464
Nov04,7.48781494720818
Dic04,7.28632759451313
Ene05,8.39653229880071
Feb05,9.25980388854338
Mar05,9.68775453161054
Abr05,8.86995177913711
May05,8.82636601113611
Jun05,8.71482064635474
Jul05,8.48245638500888
Ago05,7.903759392146
Sep05,7.95282965889614
Oct05,7.97031157639135
Nov05,7.47566089471195
Dic05,6.85397788231701
Ene06,7.42305596526415
Feb06,7.73666625458213
Mar06,7.77791275095969
Abr06,7.18268199494461
May06,7.26139512345981
Jun06,7.3872060811451
Jul06,7.51180651097365
Ago06,7.53811926747679
Sep06,7.74897063060991
Oct06,6.97732080475575
Nov06,6.82878597106344
Dic06,5.7938177787244
Ene07,7.73920203738861
Feb07,7.88920217858632
Mar07,8.66740395270753
Abr07,7.43344649931235
May07,7.46247786624229
Jun07,7.02777686070895
Jul07,6.87640048275382
Ago07,6.49045014994616
Sep07,6.86453569319036
Oct07,6.48826801146222
Nov07,6.76253744854801
Dic07,6.4447387172974
Ene08,6.687930989216
Feb08,7.08081100988502
Mar08,7.14088579032058
Abr08,7.09727854034805
May08,6.43047430896651
Jun08,6.13646944049205
Jul08,6.32923884926853
Ago08,6.53120831631219
Sep08,6.32705026925997
Oct08,5.82573723573386
Nov08,6.00245670092853
Dic08,6.31676425975954
Ene09,7.46110642509377
Feb09,7.75298570550614
Mar09,7.81989468644934
Abr09,6.89434144750853
May09,6.23241989418161
Jun09,6.41344702378523
Jul09,6.21691493290656
Ago09,6.84027065819152
Sep09,6.44113778362382
Oct09,6.39319578399057
Nov09,5.68538963655413
Dic09,6.26389329946014
Ene10,6.91534927186356
Feb10,7.97173414820473
Mar10,7.58931986841097
Abr10,7.70212272358196
May10,6.58347676419966
Jun10,6.33811159815188
Jul10,5.70289132602193
Ago10,5.84683825865903
Sep10,6.26159005721049
Oct10,6.35664362969036
Nov10,5.85501132724005
Dic10,5.6011194464959
Ene11,5.90468810538551
Feb11,7.07309629177475
Mar11,7.37649447326868
Abr11,6.84848713783856
May11,6.03775029671887
Jun11,5.70275827287892
Jul11,5.38773931541289
Ago11,5.18188854489164
Sep11,5.35899504437017
Oct11,5.04017531044558
Nov11,4.70819976053455
Dic11,4.74817377931565
Ene12,5.87127037834513
Feb12,6.30799190499829
Mar12,6.8389115750105
Abr12,6.30196271971451
May12,5.92217869232817
Jun12,5.01456831774268
Jul12,4.95509209925407
Ago12,5.38607835678965
Sep12,5.2306409430315
Oct12,4.91535096062392
Nov12,4.72280037842952
Dic12,4.37318881487335
Ene13,4.84919495048757
Feb13,4.85643786451324
Mar13,5.02816372512205
Abr13,4.51494356320545
May13,4.38533700033908
Jun13,4.33668663577107
Jul13,4.79207035325682
Ago13,5.00657276995306
Sep13,5.5721877105007
Oct13,4.9734301324751
Nov13,4.66482118808918
Dic13,4.70944129070809
Ene14,5.44649224878946
Feb14,5.93498030263981
Mar14,5.85036496350366
Abr14,5.50539528738163
May14,5.00316184949596
Jun14,5.08695490261797
Jul14,5.01801433718383
Ago14,5.19663441936322
Sep14,4.50851900393185
Oct14,4.90781518250355
Nov14,4.79997025580012
Dic14,4.99646564232301
Ene15,5.37082496466563
Feb15,5.73529958025334
Mar15,5.68958510363173
Abr15,5.44401974245741
May15,5.57241175164656
Jun15,5.51985438876713
Jul15,5.12226512226513
Ago15,4.70049148220686
Sep15,5.25658450574883
Oct15,5.03973922279604
Nov15,5.16866158868335
Dic15,5.08736607463867
Ene16,5.58026108162387
Feb16,5.980078263963
Mar16,6.114048472375
Abr16,6.17113285126896
May16,6.12325049985718
Jun16,6.19751668700208
Jul16,6.61978400487962
Ago16,6.43016318021708
Sep16,6.19679699899005
Oct16,5.65466536922909
Nov16,5.44198099625685
Dic16,5.74961799509611
Ene17,6.54027767989289
Feb17,7.06150341685649
Mar17,7.05828458665164
Abr17,6.14388794567062
May17,5.96876889695159
Jun17,6.18764593504564
Jul17,6.12259343148358
Ago17,5.90650104398909
Sep17,5.48233865495196
Oct17,5.73840870062964
Nov17,6.04488028345443
Dic17,5.94992669841469
Ene18,6.7599645704163
Feb18,7.03160707379672
Mar18,7.12642050483236
Abr18,5.92910619877232
May18,5.44349070100142
Jun18,4.87969577424742
Jul18,4.88314447592068
Ago18,4.60407759443128
Sep18,5.09278934693298
Oct18,5.73356413607941
Nov18,6.01482626567826
Dic18,5.55477478743588
Ene19,5.80686105136975
Feb19,6.51166057881426
Mar19,6.76055348739201
Abr19,5.61833350934628
May19,5.35414508697359
Jun19,5.29363697729776
Jul19,5.47694952896084
Ago19,4.98576512455516
Sep19,4.78847047884705
Oct19,5.15474844544941
Nov19,5.16536210422396
Dic19,5.0203909436085
Ene20,4.91957384583245
Feb20,5.39830654916191
Mar20,6.5662946585246
Abr20,8.50174848994051
May20,13.7267004073571
Jun20,16.0784579883263
Jul20,16.2607413433671
Ago20,14.957103996652
Sep20,15.9963796631513
Oct20,15.5296299157846
Nov20,13.857179799771
Dic20,12.2654809673571
Ene21,11.1282014594363
Feb21,12.6093161110908
Mar21,13.1475579930334
Abr21,12.8933288434916
May21,9.98685939553219
Jun21,8.28466363833009
Jul21,7.30090064534429
Ago21,7.79280718571378
Sep21,8.26172223212693
Oct21,8.13716005589594
Nov21,7.54930774406005
Dic21,6.63760027903733
Ene22,6.78922586899321
Feb22,6.72872157724806
Mar22,6.79058663028649
Abr22,6.25169330804661
May22,5.58370490474261
Jun22,5.45777050075044
Jul22,5.49018266402134
Ago22,5.99944990717184
Sep22,6.09546703296703
Oct22,5.81782028866263
Nov22,5.75880527805244
Dic22,5.72320852710547
Ene23,6.63358660375373
Feb23,6.28676716082162
Mar23,6.40527933293167
Abr23,6.04983356207241
May23,6.03107720622226
Jun23,6.03757318826178
Jul23,5.7
Ago23,6.04449336751383
Sep23,5.76902474466655
Oct23,5.7716815346435
Nov23,5.10951345928775
Dic23,5.16938186402999
Ene24,5.94230578261486
Feb24,6.50259481321681
Mar24,6.82813707807266
Abr24,6.73630081954041
